INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69402 - accuracy: 0.50136
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69386 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69434 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.6944 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69421 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69438 - accuracy: 0.50068
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69437 - accuracy: 0.50068
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69405 - accuracy: 0.50068
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69415 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69403 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69475 - accuracy: 0.50034
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69474 - accuracy: 0.50068
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.6937 - accuracy: 0.50034
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69475 - accuracy: 0.50034
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69439 - accuracy: 0.50034
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69409 - accuracy: 0.50045
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.6946 - accuracy: 0.50023
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69349 - accuracy: 0.50045
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69451 - accuracy: 0.50045
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69453 - accuracy: 0.50045
